JDAY,K,I,EX_TOXIN_1,EX_TOXIN_2,EX_TOXIN_3,EX_TOXIN_4,IN_TOXIN_1,IN_TOXIN_2,IN_TOXIN_3,IN_TOXIN_4,CTESS_TOXIN_1,CTESS_TOXIN_2,CTESS_TOXIN_3,CTESS_TOXIN_4,ALG_1,
    68.000,  15,  28,  0.2773E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1427E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5319E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2847E-01,
    68.104,   8,  28,  0.4990E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1880E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5586E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3819E-01,
    68.104,  15,  28,  0.2641E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1294E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4677E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2560E-01,
    68.201,   8,  28,  0.5027E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2397E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.8668E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4876E-01,
    68.201,  15,  28,  0.2527E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1067E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3451E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2101E-01,
    68.306,   8,  28,  0.5092E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3030E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1242E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6125E-01,
    68.306,  15,  28,  0.2459E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.8416E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2186E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1659E-01,
    68.403,   8,  28,  0.5155E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3470E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1502E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6973E-01,
    68.403,  15,  28,  0.2504E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7208E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1421E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1432E-01,
    68.500,   8,  28,  0.5184E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3483E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1509E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6936E-01,
