Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   119.500,      0.00,      0.21,      0.20,      0.36,      0.38,      0.38,      0.38,      0.38,      0.37,      0.37,      0.37,      0.37,      0.37,      0.36,      0.36,      0.36,      0.35,      0.36,      0.31,      0.31,      0.31,      0.30,      0.30,      0.30,      0.30,      0.29,      0.29,      0.29,      0.29,      0.29,      0.29,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   120.500,      0.00,      0.23,      0.22,      0.35,      0.33,      0.38,      0.39,      0.39,      0.40,      0.39,      0.39,      0.39,      0.39,      0.38,      0.37,      0.37,      0.36,      0.33,      0.32,      0.31,      0.31,      0.30,      0.30,      0.30,      0.30,      0.30,      0.29,      0.29,      0.29,      0.29,      0.29,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   121.500,      0.00,      0.26,      0.25,      0.27,      0.28,      0.33,      0.38,      0.40,      0.41,      0.41,      0.41,      0.41,      0.41,      0.40,      0.37,      0.37,      0.36,      0.34,      0.32,      0.32,      0.31,      0.31,      0.31,      0.31,      0.30,      0.30,      0.30,      0.30,      0.29,      0.29,      0.29,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   122.500,      0.00,      0.27,      0.26,      0.26,      0.27,      0.30,      0.30,      0.32,      0.35,      0.36,      0.40,      0.42,      0.42,      0.40,      0.37,      0.34,      0.34,      0.33,      0.32,      0.32,      0.31,      0.31,      0.31,      0.31,      0.30,      0.30,      0.30,      0.30,      0.30,      0.30,      0.30,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   123.500,      0.00,      0.26,      0.26,      0.27,      0.31,      0.35,      0.35,      0.32,      0.35,      0.38,      0.41,      0.40,      0.37,      0.36,      0.35,      0.35,      0.34,      0.33,      0.32,      0.32,      0.32,      0.31,      0.31,      0.31,      0.31,      0.31,      0.30,      0.30,      0.30,      0.30,      0.30,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   124.500,      0.00,      0.26,      0.26,      0.26,      0.32,      0.35,      0.37,      0.39,      0.41,      0.41,      0.40,      0.39,      0.39,      0.37,      0.36,      0.36,      0.36,      0.35,      0.34,      0.33,      0.32,      0.32,      0.32,      0.31,      0.31,      0.31,      0.30,      0.30,      0.30,      0.30,      0.30,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   125.500,      0.00,      0.26,      0.25,      0.27,      0.31,      0.35,      0.38,      0.40,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.39,      0.38,      0.37,      0.35,      0.33,      0.33,      0.32,      0.32,      0.32,      0.31,      0.31,      0.31,      0.31,      0.31,      0.30,      0.30,      0.30,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   126.500,      0.00,      0.26,      0.25,      0.26,      0.30,      0.39,      0.40,      0.41,      0.42,      0.42,      0.42,      0.42,      0.41,      0.40,      0.39,      0.39,      0.38,      0.35,      0.34,      0.33,      0.33,      0.32,      0.32,      0.32,      0.32,      0.31,      0.31,      0.31,      0.31,      0.31,      0.31,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   127.500,      0.00,      0.26,      0.26,      0.26,      0.32,      0.38,      0.40,      0.41,      0.42,      0.42,      0.43,      0.42,      0.42,      0.41,      0.41,      0.40,      0.40,      0.38,      0.35,      0.34,      0.33,      0.33,      0.32,      0.32,      0.32,      0.31,      0.31,      0.31,      0.31,      0.31,      0.31,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   128.500,      0.00,      0.28,      0.26,      0.29,      0.32,      0.37,      0.39,      0.40,      0.41,      0.42,      0.43,      0.43,      0.43,      0.42,      0.41,      0.40,      0.39,      0.36,      0.35,      0.34,      0.33,      0.33,      0.33,      0.32,      0.32,      0.32,      0.31,      0.31,      0.31,      0.31,      0.31,      0.00,
