 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
  138.2500,     13.35,     12.60,    110.00,
  138.3750,     13.80,     12.60,    110.00,
  138.5000,     13.69,     12.60,    110.00,
  138.6250,     14.05,     12.60,    110.00,
  138.7500,     13.33,     12.60,    110.00,
  138.8750,     11.66,     12.60,    110.00,
  139.0000,     11.39,     12.60,    110.00,
  139.1250,     11.04,     12.60,    110.00,
  139.2500,     10.98,     12.60,    110.00,
  139.3750,     11.57,     12.60,    110.00,
  139.5000,     12.21,     12.60,    110.00,
  139.6250,     12.29,     12.60,    110.00,
  139.7500,     12.51,     12.60,    110.00,
  139.8750,     12.05,     12.60,    110.00,
  140.0000,     12.01,     12.60,    110.00,
  140.1250,     12.15,     12.60,    110.00,
  140.2500,     12.29,     12.60,    110.00,
  140.3750,     13.16,     12.60,    110.00,
  140.5000,     13.25,     12.60,    110.00,
  140.6250,     12.87,     12.60,    110.00,
  140.7500,     12.57,     12.60,    110.00,
  140.8750,     12.80,     12.60,    110.00,
  141.0000,     13.27,     12.60,    110.00,
  141.1250,     13.82,     12.60,    110.00,
  141.2500,     13.94,     12.60,    110.00,
  141.3750,     13.66,     12.60,    110.00,
  141.5000,     13.21,     12.60,    110.00,
  141.6250,     12.96,     12.60,    110.00,
  141.7500,     13.04,     12.60,    110.00,
  141.8750,     13.50,     12.60,    110.00,
  142.0000,     13.99,     12.60,    110.00,
  142.1250,     13.92,     12.60,    110.00,
  142.2500,     13.75,     12.60,    110.00,
