 JDAY,ELEVATION(m),DisslvedOxygen(mg/l)
   89.5000,  116.35,    9.76,
   89.5000,  114.35,    9.68,
   89.5000,  112.35,    9.63,
   89.5000,  110.35,    9.59,
   89.5000,  108.35,    9.51,
   89.5000,  106.35,    9.38,
   89.5000,  104.35,    9.19,
   89.5000,  102.35,    8.93,
   89.5000,  100.35,    8.61,
   89.5000,   98.35,    8.32,
   89.5000,   96.35,    8.07,
   89.5000,   94.35,    7.88,
   89.5000,   92.35,    7.76,
   89.5000,   90.35,    7.71,
   89.5000,   88.35,    7.70,
   89.5000,   86.35,    7.70,
   89.5000,   84.35,    7.66,
   89.5000,   82.35,    7.59,
   89.5000,   80.35,    7.49,
   89.5000,   78.35,    7.37,
   89.5000,   76.35,    7.22,
   89.5000,   74.35,    7.06,
   89.5000,   72.35,    6.37,
   89.5000,   70.35,    6.37,
   89.5000,   68.35,    6.37,
   90.5000,  123.90,  -99.00,
   90.5000,  123.80,    9.84,
   90.5000,  120.35,    9.81,
   90.5000,  118.35,    9.79,
   90.5000,  116.35,    9.77,
   90.5000,  114.35,    9.70,
   90.5000,  112.35,    9.60,
   90.5000,  110.35,    9.48,
   90.5000,  108.35,    9.33,
   90.5000,  106.35,    9.02,
   90.5000,  104.35,    8.54,
   90.5000,  102.35,    8.09,
   90.5000,  100.35,    7.81,
   90.5000,   98.35,    7.66,
   90.5000,   96.35,    7.59,
   90.5000,   94.35,    7.57,
   90.5000,   92.35,    7.56,
   90.5000,   90.35,    7.55,
   90.5000,   88.35,    7.54,
   90.5000,   86.35,    7.51,
   90.5000,   84.35,    7.47,
   90.5000,   82.35,    7.41,
   90.5000,   80.35,    7.33,
   90.5000,   78.35,    7.22,
   90.5000,   76.35,    7.06,
   90.5000,   74.35,    7.07,
   90.5000,   72.35,    6.28,
   90.5000,   70.35,    6.23,
   90.5000,   68.35,    6.23,
   91.5000,  123.90,  -99.00,
   91.5000,  123.80,    9.89,
   91.5000,  120.35,    9.88,
   91.5000,  118.35,    9.87,
   91.5000,  116.35,    9.87,
   91.5000,  114.35,    9.88,
   91.5000,  112.35,    9.88,
   91.5000,  110.35,    9.88,
   91.5000,  108.35,    9.88,
   91.5000,  106.35,    9.88,
   91.5000,  104.35,    9.88,
   91.5000,  102.35,    9.88,
   91.5000,  100.35,    9.88,
   91.5000,   98.35,    9.88,
   91.5000,   96.35,    9.88,
   91.5000,   94.35,    9.62,
   91.5000,   92.35,    8.41,
   91.5000,   90.35,    7.69,
   91.5000,   88.35,    7.52,
   91.5000,   86.35,    7.49,
   91.5000,   84.35,    7.48,
   91.5000,   82.35,    7.46,
   91.5000,   80.35,    7.41,
   91.5000,   78.35,    7.35,
   91.5000,   76.35,    7.19,
   91.5000,   74.35,    7.03,
   91.5000,   72.35,    6.64,
   91.5000,   70.35,    6.18,
   91.5000,   68.35,    6.18,
