$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,T(C)
   162.604,   27.13
   162.701,   27.25
   162.806,   27.19
   162.903,   27.13
   163.000,   27.18
   163.104,   27.11
   163.201,   27.00
   163.306,   26.91
   163.403,   26.85
   163.500,   26.76
   163.604,   26.69
   163.701,   26.80
   163.806,   26.97
   163.903,   27.02
   164.000,   26.97
   164.104,   26.85
   164.201,   26.70
   164.306,   26.60
   164.403,   26.53
   164.500,   26.43
   164.604,   26.36
   164.701,   26.37
   164.806,   26.48
   164.903,   26.56
   165.000,   26.53
   165.104,   26.42
   165.201,   26.31
   165.306,   26.22
   165.403,   26.27
   165.500,   26.40
   165.604,   26.65
   165.701,   26.89
   165.806,   27.02
   165.903,   26.99
   166.000,   26.90
   166.104,   26.83
   166.201,   26.76
   166.306,   26.71
   166.403,   26.77
   166.500,   26.96
   166.604,   27.20
   166.701,   27.39
   166.806,   27.48
   166.903,   27.47
   167.000,   27.36
   167.104,   27.27
   167.201,   27.22
   167.306,   27.18
   167.403,   27.21
   167.500,   27.38
   167.604,   27.66
   167.701,   27.92
   167.806,   28.05
   167.903,   28.08
   168.000,   28.03
   168.104,   27.92
   168.201,   27.82
   168.306,   27.76
   168.403,   27.82
   168.500,   27.93
   168.604,   28.03
   168.701,   28.15
   168.806,   28.19
   168.903,   28.12
   169.000,   28.05
   169.104,   27.92
   169.201,   27.82
   169.306,   27.67
   169.403,   27.57
   169.500,   27.59
   169.604,   27.67
   169.701,   27.71
   169.806,   27.70
   169.903,   27.61
   170.000,   27.53
   170.104,   27.46
   170.201,   27.39
   170.306,   27.35
   170.403,   27.35
   170.500,   27.38
   170.604,   27.42
   170.701,   27.45
   170.806,   27.44
   170.903,   27.41
   171.000,   27.37
   171.104,   27.33
   171.201,   27.33
   171.306,   27.29
   171.403,   27.26
   171.500,   27.31
   171.604,   27.46
   171.701,   27.62
   171.806,   27.69
   171.903,   27.67
   172.000,   27.58
   172.104,   27.50
   172.201,   27.43
   172.306,   27.38
   172.403,   27.36
   172.500,   27.31
   172.604,   27.18
   172.701,   27.07
   172.806,   27.04
   172.903,   27.04
   173.000,   26.94
   173.104,   26.84
   173.201,   26.75
   173.306,   26.68
   173.403,   26.67
   173.500,   26.72
   173.604,   26.87
   173.701,   27.02
   173.806,   27.11
   173.903,   27.11
   174.000,   27.10
   174.104,   26.99
   174.201,   26.95
   174.306,   26.90
   174.403,   26.91
   174.500,   26.93
   174.604,   27.03
   174.701,   27.21
   174.806,   27.35
   174.903,   27.36
   175.000,   27.31
   175.104,   27.24
   175.201,   27.16
   175.306,   27.11
   175.403,   27.21
   175.500,   27.32
   175.604,   27.51
   175.701,   27.71
   175.806,   27.81
   175.903,   27.85
   176.000,   27.86
   176.104,   27.82
   176.201,   27.77
   176.306,   27.72
   176.403,   27.73
   176.500,   27.72
   176.604,   27.67
   176.701,   27.59
   176.806,   27.62
   176.903,   27.70
   177.000,   27.83
   177.104,   27.87
   177.201,   27.85
   177.306,   27.79
   177.403,   27.83
   177.500,   28.02
   177.604,   28.15
   177.701,   28.26
   177.806,   28.35
   177.903,   28.46
   178.000,   28.45
   178.104,   28.40
   178.201,   28.31
   178.306,   28.24
   178.403,   28.10
   178.500,   27.89
   178.604,   27.66
   178.701,   27.69
   178.806,   27.91
   178.903,   28.06
   179.000,   28.09
   179.104,   28.07
   179.201,   28.13
   179.306,   28.17
   179.403,   28.16
   179.500,   28.21
   179.604,   28.40
   179.701,   28.62
   179.806,   28.84
   179.903,   28.97
   180.000,   29.04
   180.104,   28.98
   180.201,   28.89
   180.306,   28.84
   180.403,   28.95
   180.500,   29.13
   180.604,   29.20
   180.701,   29.21
   180.806,   29.30
   180.903,   29.39
   181.000,   29.40
   181.104,   29.37
   181.201,   29.33
   181.306,   29.32
   181.403,   29.40
   181.500,   29.53
   181.604,   29.67
   181.701,   29.84
   181.806,   29.96
   181.903,   30.00
   182.000,   29.96
   182.104,   29.90
   182.201,   29.84
   182.306,   29.81
   182.403,   29.84
   182.500,   29.96
   182.604,   30.17
   182.701,   30.37
   182.806,   30.54
   182.903,   30.57
   183.000,   30.50
   183.104,   30.41
   183.201,   30.33
   183.306,   30.34
   183.403,   30.44
   183.500,   30.57
   183.604,   30.74
   183.701,   30.93
   183.806,   31.12
   183.903,   31.20
   184.000,   31.15
   184.104,   31.05
   184.201,   30.94
   184.306,   30.86
   184.403,   30.89
   184.500,   31.07
   184.604,   31.36
   184.701,   31.53
   184.806,   31.51
   184.903,   31.38
   185.000,   31.44
   185.104,   31.45
   185.201,   31.37
   185.306,   31.25
   185.403,   31.15
   185.500,   31.22
   185.604,   31.53
   185.701,   31.67
   185.806,   31.66
   185.903,   31.56
   186.000,   31.54
   186.104,   31.46
   186.201,   31.35
   186.306,   31.25
   186.403,   31.29
   186.500,   31.40
   186.604,   31.62
   186.701,   31.76
   186.806,   31.82
   186.903,   31.81
   187.000,   31.75
   187.104,   31.62
   187.201,   31.55
   187.306,   31.48
   187.403,   31.54
   187.500,   31.65
   187.604,   31.81
   187.701,   31.91
   187.806,   31.96
   187.903,   31.99
   188.000,   31.96
   188.104,   31.85
   188.201,   31.75
   188.306,   31.67
   188.403,   31.71
   188.500,   31.83
   188.604,   32.00
   188.701,   32.11
   188.806,   32.29
   188.903,   32.33
   189.000,   32.31
   189.104,   32.21
   189.201,   32.11
   189.306,   32.04
   189.403,   32.08
   189.500,   32.24
   189.604,   32.50
   189.701,   32.69
   189.806,   32.78
   189.903,   32.74
   190.000,   32.64
   190.104,   32.52
   190.201,   32.48
   190.306,   32.42
   190.403,   32.45
   190.500,   32.53
