$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,T(C)
   197.604,   33.39
   197.701,   33.58
   197.806,   33.61
   197.903,   33.53
   198.000,   33.43
   198.104,   33.30
   198.201,   33.18
   198.306,   33.08
   198.403,   33.11
   198.500,   33.23
   198.604,   33.49
   198.701,   33.61
   198.806,   33.65
   198.903,   33.57
   199.000,   33.44
   199.104,   33.30
   199.201,   33.22
   199.306,   33.12
   199.403,   33.13
   199.500,   33.25
   199.604,   33.46
   199.701,   33.61
   199.806,   33.67
   199.903,   33.56
   200.000,   33.45
   200.104,   33.30
   200.201,   33.18
   200.306,   33.13
   200.403,   33.20
   200.500,   33.29
   200.604,   33.45
   200.701,   33.52
   200.806,   33.42
   200.903,   33.16
   201.000,   32.99
   201.104,   32.92
   201.201,   32.82
   201.306,   32.69
   201.403,   32.61
