JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    78.701,   600.000,   123.799,     8.785,    -0.014,    12.636,   243.467,     0.450,    51.449,  2866.000,     1.000,     8.982,   121.635,   229.686,   288.239,   353.553,    59.457,   -16.720,     0.000,
    78.806,   600.000,   123.799,     8.741,    -0.013,    12.688,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.917,  -120.064,     0.000,   277.347,   353.022,    49.688,    -5.299,     0.000,
    78.903,   600.000,   123.799,     8.704,    -0.014,    12.746,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.843,  -126.164,     0.000,   268.350,   352.397,    39.293,     2.823,     0.000,
    79.000,   600.000,   123.799,     8.676,    -0.016,    12.542,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.781,  -130.430,     0.000,   265.511,   351.829,    34.562,     9.549,     0.000,
    79.104,   600.000,   123.799,     8.650,    -0.018,    12.578,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.717,  -100.254,     0.000,   288.227,   351.353,    29.485,     7.643,     0.000,
    79.201,   600.000,   123.800,     8.622,    -0.019,    12.621,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.657,   -90.362,     0.000,   296.365,   350.976,    28.495,     7.255,     0.000,
    79.306,   600.000,   123.799,     8.594,    -0.017,    12.535,    36.244,     0.450,    51.449,  2866.000,     1.000,     8.606,   -46.027,    34.192,   303.324,   350.628,    30.791,     2.124,     0.000,
    79.403,   600.000,   123.799,     8.559,    -0.011,    12.644,   198.213,     0.450,    51.449,  2866.000,     1.000,     8.573,   133.849,   186.994,   318.210,   350.581,    30.491,    -9.718,     0.000,
    79.500,   600.000,   123.799,     8.491,    -0.006,    12.633,   291.848,     0.450,    51.449,  2866.000,     1.000,     8.546,   249.886,   275.328,   335.840,   350.909,    33.078,   -22.704,     0.000,
    79.604,   600.000,   123.799,     8.382,    -0.001,    12.558,   246.920,     0.450,    51.449,  2866.000,     1.000,     8.512,   231.564,   232.943,   349.369,   351.341,    42.561,   -43.154,     0.000,
    79.701,   600.000,   123.799,     8.238,     0.000,    12.583,    93.922,     0.450,    51.449,  2866.000,     1.000,     8.460,    78.615,    88.605,   341.697,   351.464,    33.156,   -32.932,     0.000,
    79.806,   600.000,   123.799,     8.061,     0.003,    12.585,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.387,   -20.935,     0.000,   329.952,   351.179,    19.084,   -19.377,     0.000,
    79.903,   600.000,   123.799,     7.945,     0.004,    12.604,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.337,   -20.670,     0.000,   324.757,   350.890,     9.517,   -14.980,     0.000,
    80.000,   600.000,   123.799,     7.899,     0.005,    12.603,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.311,   -22.151,     0.000,   322.110,   350.657,     6.739,   -13.135,     0.000,
    80.104,   600.000,   123.799,     7.878,     0.004,    12.939,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.293,   -25.633,     0.000,   318.770,   350.447,     2.629,    -8.673,     0.000,
    80.201,   600.000,   123.799,     7.845,    -0.002,    12.610,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.272,   -17.843,     0.000,   321.996,   350.320,     0.263,   -10.744,     0.000,
    80.306,   600.000,   123.799,     7.800,    -0.008,    12.312,    37.619,     0.450,    51.449,  2866.000,     1.000,     8.250,    26.019,    35.490,   325.326,   350.252,    -2.343,   -13.112,     0.000,
    80.403,   600.000,   123.799,     7.769,    -0.011,    12.605,   200.239,     0.450,    51.449,  2866.000,     1.000,     8.246,   190.123,   188.904,   327.843,   350.445,    -8.059,   -15.762,     0.000,
    80.500,   600.000,   123.799,     7.756,    -0.011,    12.605,   293.617,     0.450,    51.449,  2866.000,     1.000,     8.267,   314.393,   276.998,   339.801,   351.003,   -25.234,   -23.363,     0.000,
    80.604,   600.000,   123.799,     7.756,    -0.011,    13.899,   380.773,     0.450,    51.449,  2866.000,     1.000,     8.320,   520.316,   359.219,   360.724,   351.948,   -79.732,   -72.588,     0.000,
    80.701,   600.000,   123.802,     7.761,    -0.027,    14.691,   232.992,     0.450,    51.452,  2866.000,     1.000,     8.397,   430.027,   219.803,   353.829,   352.913,   -72.039,  -137.269,     0.000,
